ID,Name,Studies at,Degree,Born,Validity,ISIC card number,Magnetic stripe
30333,"Ardestani, Mohammad javad.",Amirkabir University of Technology,Bachelor of Science,22/07/2000,09/2021-12/2066,S 098 000 038 546 J,98000038546702
30699,"Fakour, Soheil.",Amirkabir University of Technology,Bachelor of Science,07/10/1997,09/2021-12/2067,S 098 000 038 547 J,98000038547406
31551,"Dashtbazi, Arash.",K.N.Toosi University of Technology,Ph.D.,25/06/1978,09/2021-12/2068,S 098 000 038 548 B,98000038548110
31689,"Vakili basir, Ahmad.",Tehran University of Medical Sciences,Ph.D.,21/09/1992,09/2021-12/2069,S 098 000 038 549 N,98000038549923
31739,"Mahfeli, Mandana.",Tarbiat Modares University,Ph.D.,11/04/1983,09/2021-12/2070,S 098 000 038 550 L,98000038550165
32105,"Jamshidi, Mohammad ali.",Sharif University of Technology,Ph.D.,12/10/1992,09/2021-12/2071,S 098 000 038 551 Y,98000038551979
32112,"Abdollahzadeh, Mohammad.",Bagheraluloom  University,Ph.D.,17/07/1987,09/2021-12/2072,S 098 000 038 552 P,98000038552682
32193,"Andayeshgar, Salman.",Inst. for Advanced Studies in Basic Sci.,Ph.D.,16/10/1990,09/2021-12/2073,S 098 000 038 553 R,98000038553396
32503,"Farshid, Safoora.",Isfahan University of Technology,Ph.D.,14/04/1994,09/2021-12/2074,S 098 000 038 554 A,98000038554000
33272,"Fasih ramandi, Ali.",Islamic Azad University,Bachelor of Science,12/07/1997,09/2021-12/2075,S 098 000 038 555 K,98000038555803
33294,"Mohammadi, Mohammadhossein.",Iran University of Science&Technology,Ph.D.,17/05/1988,09/2021-12/2076,S 098 000 038 556 M,98000038556517
33662,"Kiyasati, Parisa.",Payame Noor University,Bachelor of Science,08/04/1999,09/2021-12/2077,S 098 000 038 557 D,98000038557220
33685,"Saeidi nezhad, Hadis.",University of Isfahan,Ph.D.,21/07/1992,09/2021-12/2078,S 098 000 038 558 G,98000038558034
34301,"Parva, Zahra.",Islamic Azad University,Ph.D.,13/02/1971,09/2021-12/2079,S 098 000 038 559 S,98000038559748
34365,"Moradi, Neda.",Shahid Beheshti University,Ph.D.,12/10/1990,09/2021-12/2080,S 098 000 038 560 H,98000038560080
34825,"Aminian, Ehsan.",Iran University of Science&Technology,Ph.D.,13/07/1992,09/2021-12/2081,S 098 000 038 561 S,98000038561793
34828,"Baqervand navid, Hessameddin.",University of Tabriz,Ph.D.,04/05/1995,09/2021-12/2082,S 098 000 038 562 K,98000038562407
35243,"Sabzeie, Mohammad moein.",Urmia University,General Practitioner,25/08/1994,09/2021-12/2083,S 098 000 038 563 A,98000038563100
35791,"Vahedi, Asghar.",Semnan University,Ph.D.,29/05/1990,09/2021-12/2084,S 098 000 038 564 N,98000038564914
35885,"Naseri, Taha.",Tarbiat Modares University,Ph.D.,28/02/1987,09/2021-12/2085,S 098 000 038 565 P,98000038565628
36095,"Banihashemi dehkordi, Akram sadat.",Semnan University,Ph.D.,07/05/1985,09/2021-12/2086,S 098 000 038 566 G,98000038566331
36097,"Banihashemi dehkordi, Sayedeh nafiseh.",Kerman Graduate Uni. of Adv.Tech.,Ph.D.,13/06/1987,09/2021-12/2087,S 098 000 038 567 J,98000038567045
36688,"Rezaei, Ehsan.",Razi University,Bachelor of Science,06/03/1998,09/2021-12/2088,S 098 000 038 568 V,98000038568859
36690,"Akbarzadeh monfared, Hamed.",University of Tabriz,Bachelor of Science,19/09/1999,09/2021-12/2089,S 098 000 038 569 M,98000038569562
36745,"Makarizadeh, Salar.",Fasa University of Medical Sciences,General Practitioner,01/01/2000,09/2021-12/2090,S 098 000 038 570 L,98000038570804
37197,"Nikchehreh, Ali.",Payame Noor University,Bachelor of Science,13/05/1999,09/2021-12/2091,S 098 000 038 571 M,98000038571508
37269,"Bokharaei, Mohammad mahdi.",K.N.Toosi University of Technology,Bachelor of Science,17/08/1999,09/2021-12/2092,S 098 000 038 572 D,98000038572211
37764,"Poursaniei, Hamed.",Islamic Azad University,Bachelor of Science,15/07/2000,09/2021-12/2093,S 098 000 038 573 G,98000038573025
42806,"Golabshekar, Saeedeh.",University of Tabriz,Master of Science,13/01/1996,09/2021-12/2094,S 098 000 038 574 S,98000038574739
42982,"Hashemi, Atiye sadat.",Semnan University,Ph.D.,27/03/1991,09/2021-12/2095,S 098 000 038 575 J,98000038575442
43064,"Pourhesaby, Saba.",Tehran University of Medical Sciences,General Practitioner,06/03/2000,09/2021-12/2096,S 098 000 038 576 L,98000038576156
43141,"Mohammadi, Javad.",Islamic Azad University,Ph.D.,19/11/1993,09/2021-12/2097,S 098 000 038 577 N,98000038577960
43266,"Mortazavi, Parham.",Mazandaran University of Medical Sciences,General Practitioner,30/04/1997,09/2021-12/2098,S 098 000 038 578 P,98000038578673
43415,"Salamatjoo, Mahdi.",Islamic Azad University,Bachelor of Science,16/10/1999,09/2021-12/2099,S 098 000 038 579 R,98000038579387
43663,"Aeenesaz, Seyyed mohammad erfan.",University of Tehran,Bachelor of Science,10/10/2000,09/2021-12/2100,S 098 000 038 580 P,98000038580619
43674,"Sokhanvar mahani, Masoud.",University of Tehran,Master of Science,02/09/1996,09/2021-12/2101,S 098 000 038 581 G,98000038581322
43751,"Mousavisadrjadidi, Sara.",University of Tehran,Master of Science,21/05/1997,09/2021-12/2102,S 098 000 038 582 J,98000038582036
43754,"Venarchi, Javad.",University of Tehran,Ph.D.,21/03/1979,09/2021-12/2103,S 098 000 038 583 L,98000038583840
43796,"Zarei, Mohammad.",University of Tehran,Master of Science,05/05/1994,09/2021-12/2104,S 098 000 038 584 M,98000038584553
43940,"Momeni anbaran, Mohammad.",Sharif University of Technology,Master of Science,31/07/1996,09/2021-12/2105,S 098 000 038 585 N,98000038585267
44442,"Rezaee, Abbas.",University of Tehran,Ph.D.,02/09/1987,09/2021-12/2106,S 098 000 038 586 G,98000038586070
46989,"Shoghli, Shirin.",Islamic Azad University,Bachelor of Science,26/06/1999,09/2021-12/2107,S 098 000 038 587 S,98000038587784
47197,"Kohestani, Daniyal.",Iran University of Medical Sciences,Master of Science,26/07/1995,09/2021-12/2108,S 098 000 038 588 U,98000038588498
47309,"Shojaieyekta, Mohsen.",Islamic Azad University,Bachelor of Science,30/08/2000,09/2021-12/2109,S 098 000 038 589 B,98000038589101
47701,"Habibi, Amir.",Sh.Rajaee Teacher Training University,Bachelor of Science,24/06/2000,09/2021-12/2110,S 098 000 038 590 J,98000038590433
48169,"Ostadahmad ghorabi, Mohammad amin.",University of Tehran,Master of Science,02/11/1996,09/2021-12/2111,S 098 000 038 591 L,98000038591147
48370,"Nedaei, Vahid.",University of Tehran,Bachelor of Science,10/02/2000,09/2021-12/2112,S 098 000 038 592 N,98000038592950
49081,"Mohebbi, Amirhossein.",University of Tehran,Ph.D.,21/03/1993,09/2021-12/2113,S 098 000 038 593 P,98000038593664
49330,"Haddadi, Mohammad.",University of Tehran,Ph.D.,01/03/1987,09/2021-12/2114,S 098 000 038 594 R,98000038594378
49530,"Khademi, Arman.",Islamic Azad University,Bachelor of Science,20/09/2001,09/2021-12/2115,S 098 000 038 595 J,98000038595081
49779,"Attari, Ali.",Imam Khomeini International University,Bachelor of Science,02/06/2001,09/2021-12/2116,S 098 000 038 596 V,98000038596895
49875,"Ghani, Sina.",University of Tehran,Ph.D.,31/03/1989,09/2021-12/2117,S 098 000 038 597 N,98000038597509
49913,"Ghafoorifard, Mahdi.",Allameh Tabataba’i University,Ph.D.,10/09/1986,09/2021-12/2118,S 098 000 038 598 D,98000038598202
50023,"Nikjouyan, Arshia.",University of Tehran,Bachelor of Science,21/07/2001,09/2021-12/2119,S 098 000 038 599 G,98000038599016
50033,"Monfared, Mohsen.",Islamic Azad University,Bachelor of Science,16/06/1991,09/2021-12/2120,S 098 000 038 600 A,98000038600000
50272,"Pezhman, Fatemeh.",Tehran University of Medical Sciences,Bachelor of Science,17/08/2001,09/2021-12/2121,S 098 000 038 601 K,98000038601803
50317,"Joveini, Amirhossein.",Ferdowsi University of Mashhad,Bachelor of Science,31/01/2001,09/2021-12/2122,S 098 000 038 602 M,98000038602517
50370,"Hatami, Meissam.",Iran University of Science&Technology,Master of Science,30/03/1995,09/2021-12/2123,S 098 000 038 603 D,98000038603220
50450,"Safari, Fatemeh.",Inst. for Advanced Studies in Basic Sci.,Ph.D.,09/02/1996,09/2021-12/2124,S 098 000 038 604 G,98000038604034
50619,"Malek mohammadi, Roxana.",University of Tehran,Bachelor of Science,17/08/1999,09/2021-12/2125,S 098 000 038 605 S,98000038605748
50793,"Shayestehkia, Mohammad.",University of Art,Master of Science,04/01/1985,09/2021-12/2126,S 098 000 038 606 J,98000038606451
50887,"Seyyed abadi, Mohammad mahdi.",Aerospace Research Institute,Bachelor of Science,28/02/2001,09/2021-12/2127,S 098 000 038 607 L,98000038607165
50970,"Khalil arjmandi, Peyman.",Babol Noshirvani University of Tech.,Master of Science,21/07/1992,09/2021-12/2128,S 098 000 038 608 Y,98000038608979
51066,"Farahifar, Sina.",Iran University of Science&Technology,Ph.D.,17/12/1993,09/2021-12/2129,S 098 000 038 609 P,98000038609682
51304,"Boujar, Ashkan.",Amirkabir University of Technology,Master of Science,01/08/1991,09/2021-12/2130,S 098 000 038 610 N,98000038610914
51320,"Vahedi poor, Sajad.",Birjand University of Technology,Bachelor of Science,22/12/2000,09/2021-12/2131,S 098 000 038 611 P,98000038611628
51323,"Mousavi, Ahmad.",Gonbad Kavous University,Bachelor of Science,20/11/1994,09/2021-12/2132,S 098 000 038 612 G,98000038612331
51327,"Alaie, Hamidreza.",Sharif University of Technology,Bachelor of Science,18/04/2000,09/2021-12/2133,S 098 000 038 613 J,98000038613045
51474,"Mohammad ghasem nezhad maleki, Pooryaa.",Islamic Azad University,Bachelor of Science,07/05/2000,09/2021-12/2134,S 098 000 038 614 V,98000038614859
51528,"Mombni, Abdolrahim.",Other Universities,Bachelor of Science,18/05/1991,09/2021-12/2135,S 098 000 038 615 M,98000038615562
51587,"Amirpoor, Alireza.",Shiraz University of Medical Sciences,Bachelor of Science,14/11/1998,09/2021-12/2136,S 098 000 038 616 N,98000038616276
51706,"Fathi, Mahrokh.",University of Tabriz,Bachelor of Science,25/06/1997,09/2021-12/2137,S 098 000 038 617 H,98000038617080
52105,"Gholamidastgerdi, Pejman.",University of Tabriz,Ph.D.,13/11/1989,09/2021-12/2138,S 098 000 038 618 S,98000038618793
52140,"Cheraghy, Ehsan.",Imam Khomeini International University,Bachelor of Science,14/07/2001,09/2021-12/2139,S 098 000 038 619 K,98000038619407
52160,"Alikhani, Morteza.",Payame Noor University,Master of Science,14/02/1994,09/2021-12/2140,S 098 000 038 620 S,98000038620739
52283,"Soleimani, Reza.",Technical and Vocational University,Bachelor of Science,12/09/2000,09/2021-12/2141,S 098 000 038 621 J,98000038621442
52305,"Firooz, Mohammad.",Islamic Azad University,Bachelor of Science,13/02/1998,09/2021-12/2142,S 098 000 038 622 L,98000038622156
52353,"Ahmadi amir abadi, Faezeh.",Islamic Azad University,Bachelor of Science,09/10/1998,09/2021-12/2143,S 098 000 038 623 N,98000038623960
52395,"Bahador, Jananeh.",Islamic Azad University,Master of Science,24/05/1993,09/2021-12/2144,S 098 000 038 624 P,98000038624673
52553,"Kouroshzadeh, Zahra.",Isfahan University of Technology,Master of Science,03/03/1997,09/2021-12/2145,S 098 000 038 625 R,98000038625387
52691,"Arman borojeni, Zeynab.",University of Zanjan,Master of Science,28/05/1997,09/2021-12/2146,S 098 000 038 626 J,98000038626090
52731,"Mohammadi alghar, Sina.",University of Birjand,Master of Science,14/11/1996,09/2021-12/2147,S 098 000 038 627 L,98000038627804
53005,"Sadatipour, Seyyed mohammad.",Amirkabir University of Technology,Bachelor of Science,22/04/1999,09/2021-12/2148,S 098 000 038 628 M,98000038628508
53048,"Nosrati nahouk, Mohammad.",Yazd University,Master of Science,20/12/1995,09/2021-12/2149,S 098 000 038 629 D,98000038629211
53052,"Daman, Mohammad hadi.",University of Tabriz,Bachelor of Science,15/12/2000,09/2021-12/2150,S 098 000 038 630 M,98000038630553
53158,"Moazeni, Omid.",Tehran University of Medical Sciences,Ph.D.,20/09/1989,09/2021-12/2151,S 098 000 038 631 N,98000038631267
53198,"Morteza, Khanahmadi.",Islamic Azad University,Ph.D.,09/11/1986,09/2021-12/2152,S 098 000 038 632 G,98000038632070
53223,"Vahid, Nami.",Islamic Azad University,Bachelor of Science,21/08/1987,09/2021-12/2153,S 098 000 038 633 S,98000038633784
53225,"Ghorbani, Mehdi.",University of Maragheh,Bachelor of Science,15/09/2000,09/2021-12/2154,S 098 000 038 634 U,98000038634498
53245,"Ghalandarzadeh, Amirreza.",University of Bonab,Bachelor of Science,23/09/1998,09/2021-12/2155,S 098 000 038 635 B,98000038635101
53402,"Dehghan, Seyed mahdi.",University of neyshabur,Master of Science,22/10/1993,09/2021-12/2156,S 098 000 038 636 N,98000038636905
53468,"Kamaali, Hossein.",University of Sistan and Baluchestan,Bachelor of Science,14/08/2000,09/2021-12/2157,S 098 000 038 637 P,98000038637619
53687,"Azadi, Amirhossein.",Mohaghegh Ardebili University,Bachelor of Science,13/05/1998,09/2021-12/2158,S 098 000 038 638 G,98000038638322
53705,"Rahmani nane karan, Fardin.",Mohaghegh Ardebili University,Master of Science,27/06/1993,09/2021-12/2159,S 098 000 038 639 J,98000038639036
53752,"Parvane, Raziye.",Shiraz University,Master of Science,12/06/1997,09/2021-12/2160,S 098 000 038 640 R,98000038640378
53842,"Sadri, Ali.",University of  Mazandaran,Master of Science,23/11/1996,09/2021-12/2161,S 098 000 038 641 J,98000038641081
53903,"Rahmani, Ali.",Sh.Rajaee Teacher Training University,Bachelor of Science,09/05/2001,09/2021-12/2162,S 098 000 038 642 V,98000038642895
54061,"Rahmani, Hooshmand.",Iran University of Science&Technology,Master of Science,18/06/1995,09/2021-12/2163,S 098 000 038 643 N,98000038643509
54360,"Pourakbar jigheh, Yashar.",Azarbaijan Shahid Madani University,Bachelor of Science,13/02/2000,09/2021-12/2164,S 098 000 038 644 D,98000038644202
54430,"Barzegar bahrami, Mohammad amin.",Amirkabir University of Technology,Bachelor of Science,15/07/2002,09/2021-12/2165,S 098 000 038 645 G,98000038645016
54447,"Movahedzade, Amirreza.",Shahid Beheshti University,General Practitioner,30/08/2001,09/2021-12/2166,S 098 000 038 646 J,98000038646720
54494,"Amini, Seyed ali asghar.",University of Tehran,Master of Science,10/04/1999,09/2021-12/2167,S 098 000 038 647 J,98000038647433
54505,"Khorsandi noshahri, Hamed.",Islamic Azad University,Ph.D.,11/09/1984,09/2021-12/2168,S 098 000 038 648 L,98000038648147
54531,"Goudarzi, Farnoush.",Islamic Azad University,Bachelor of Science,01/02/2001,09/2021-12/2169,S 098 000 038 649 N,98000038649950
54556,"Shahriyary, Ehsan.",Amirkabir University of Technology,Bachelor of Science,04/05/2000,09/2021-12/2170,S 098 000 038 650 L,98000038650192
54631,"Nezamabadi, Faeze.",Tarbiat Modares University,Master of Science,24/04/1992,09/2021-12/2171,S 098 000 038 651 N,98000038651906
54659,"Vahedi gharehbaba, Mahan.",University of Tehran,Master of Science,10/07/1996,09/2021-12/2172,S 098 000 038 652 F,98000038652600
54787,"Shahininejad, Hesam.",Tarbiat Modares University,Ph.D.,31/07/1997,09/2021-12/2173,S 098 000 038 653 G,98000038653313
54820,"Shaban sahraei, Ashkan.",Shahrood University of Technology,Master of Science,09/02/1989,09/2021-12/2174,S 098 000 038 654 J,98000038654027
54825,"Mashouf, Alireza.",Iran University of Science&Technology,Bachelor of Science,20/01/1999,09/2021-12/2175,S 098 000 038 655 K,98000038655830
54840,"Rezaei, Amirhossein.",Shahid Beheshti University,Bachelor of Science,28/08/2000,09/2021-12/2176,S 098 000 038 656 M,98000038656544
54904,"Fathi damsaz, Alireza.",Islamic Azad University,Bachelor of Science,16/03/2000,09/2021-12/2177,S 098 000 038 657 N,98000038657258
54979,"Mirhosseini, Seyed hamid.",Amirkabir University of Technology,Master of Science,21/02/1997,09/2021-12/2178,S 098 000 038 658 G,98000038658061
55019,"Sadatfar, Reihaneh.",University of Science & Culture,Master of Science,04/08/1997,09/2021-12/2179,S 098 000 038 659 S,98000038659775
55153,"Rahmati, Ayoub.",Islamic Azad University,Bachelor of Science,20/02/1998,09/2021-12/2180,S 098 000 038 660 G,98000038660007
55205,"Zarei, Eisa.",University of Tehran,Ph.D.,22/06/1986,09/2021-12/2181,S 098 000 038 661 H,98000038661710
55206,"Ghiasy nick, Ehsan.",University of Tehran,Bachelor of Science,28/11/2001,09/2021-12/2182,S 098 000 038 662 J,98000038662424
55250,"Bayat, Zeinab.",Shahid Beheshti University,Ph.D.,15/09/1992,09/2021-12/2183,S 098 000 038 663 L,98000038663138
55273,"Abbasi, Mohammad saeid.",Isfahan University of Technology,Master of Science,07/11/1994,09/2021-12/2184,S 098 000 038 664 N,98000038664941
55367,"Tavakoli, Ali.",Islamic Azad University,Bachelor of Science,04/09/2000,09/2021-12/2185,S 098 000 038 665 P,98000038665655
55409,"Chalabiyanlou, Ata.",Islamic Azad University,Bachelor of Science,04/07/2001,09/2021-12/2186,S 098 000 038 666 R,98000038666369
55440,"Manian, Mehdi.",Islamic Azad University,Bachelor of Science,27/09/1997,09/2021-12/2187,S 098 000 038 667 J,98000038667072
55509,"Kouhestanikhangholi, Mehran.",Sh.Beheshti University of Medical Sci.,Bachelor of Science,03/08/2000,09/2021-12/2188,S 098 000 038 668 V,98000038668886
55541,"Hojati, Sayed reza.",Fasa University of Medical Sciences,General Practitioner,13/02/1998,09/2021-12/2189,S 098 000 038 669 N,98000038669590
55566,"Kermani, Amirmohammad.",University of Tabriz,Bachelor of Science,30/05/2000,09/2021-12/2190,S 098 000 038 670 K,98000038670821
55592,"Hatami, Ali.",Arak University,Bachelor of Science,17/04/1997,09/2021-12/2191,S 098 000 038 671 M,98000038671535
55700,"Orouji, Negin.",Sharif University of Technology,Bachelor of Science,09/08/2000,09/2021-12/2192,S 098 000 038 672 N,98000038672249
55703,"Goodarzi, Alireza.",Shahid Beheshti University,Master of Science,15/09/1998,09/2021-12/2193,S 098 000 038 673 G,98000038673052
557071,"Aghaei laleloo, Mojtaba.",Tabriz University of Medical Sciences,Bachelor of Science,05/02/1998,09/2021-12/2194,S 098 000 038 674 S,98000038674766
557073,"Afsharfar, Omid.",Payame Noor University,Bachelor of Science,22/09/1979,09/2021-12/2195,S 098 000 038 675 K,98000038675470
557235,"Dabirifar, Saeed.",Mashhad University of Medical Sci.,Bachelor of Science,07/10/1999,09/2021-12/2196,S 098 000 038 676 L,98000038676183
557323,"Aghamohamadi, Mohamadmatin.",Imam Khomeini International University,Bachelor of Science,11/03/2001,09/2021-12/2197,S 098 000 038 677 Y,98000038677997
557439,"Mazaheri, Parsa.",Islamic Azad University,Bachelor of Science,29/07/2000,09/2021-12/2198,S 098 000 038 678 F,98000038678600
557440,"Nahani, Farzad.",Islamic Azad University,Bachelor of Science,26/09/1998,09/2021-12/2199,S 098 000 038 679 G,98000038679304
557477,"Seyedhosseini novin, Seyedhamed.",University of Tabriz,Master of Science,23/12/1991,09/2021-12/2200,S 098 000 038 680 P,98000038680646
557478,"Basiri zirak, Zahra.",Bu-Ali-Sina University,Bachelor of Science,01/09/1999,09/2021-12/2201,S 098 000 038 681 H,98000038681350
557606,"Savabi, Hashem.",Farhangian University,Bachelor of Science,22/09/1999,09/2021-12/2202,S 098 000 038 682 J,98000038682063
557662,"Amirany, Abdolah.",Shahid Beheshti University,Ph.D.,02/07/1993,09/2021-12/2203,S 098 000 038 683 V,98000038683877
557677,"Azaryan, Mohamad.",Islamic Azad University,Master of Science,17/04/1996,09/2021-12/2204,S 098 000 038 684 M,98000038684580
557796,"Sohbatzadeh, Shayan.",Mohaghegh Ardebili University,Bachelor of Science,28/03/1999,09/2021-12/2205,S 098 000 038 685 N,98000038685294
557892,"Ramezani, Pooya.",Shiraz University of Medical Sciences,Master of Science,04/04/1996,09/2021-12/2206,S 098 000 038 686 H,98000038686008
557987,"Batourak, Fayeq.",ISIC,Bachelor of Science,09/08/2000,09/2021-12/2207,S 098 000 038 687 H,98000038687701
558062,"Mohammadali, Mohammadjavad.",University of Applied Science,Bachelor of Science,24/09/1994,09/2021-12/2208,S 098 000 038 688 J,98000038688415
558181,"Hosein, Mohammad.",Farhangian University,Bachelor of Science,10/10/1999,09/2021-12/2209,S 098 000 038 689 L,98000038689129
558208,"Sadeghi shahdani, Ali.",University of Tehran,Bachelor of Science,08/02/2001,09/2021-12/2210,S 098 000 038 690 J,98000038690460
558807,"Zangeneh, Tooba.",Shahab Danesh University,Bachelor of Science,18/01/2000,09/2021-12/2211,S 098 000 038 691 L,98000038691174
558884,"Firoozi, Zahra.",Shiraz University,Bachelor of Science,13/06/1998,09/2021-12/2212,S 098 000 038 692 Y,98000038692988
558923,"Kiani, Najmeh.",University of Tehran,Ph.D.,22/09/1988,09/2021-12/2213,S 098 000 038 693 P,98000038693691
559018,"Rostami, Hossein.",Islamic Azad University,Bachelor of Science,16/03/1998,09/2021-12/2214,S 098 000 038 694 H,98000038694305
559023,"Chabok, Moslem.",Shahid Beheshti University,Master of Science,06/08/1989,09/2021-12/2215,S 098 000 038 695 J,98000038695009
559041,"Emami, S.reyhaneh.",JondiShapour University of Technology,Bachelor of Science,28/03/2001,09/2021-12/2216,S 098 000 038 696 K,98000038696812
